Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Cloudy,33,Santa Maria Public Airport (Capt G. Allan Hancock Field),Daniel K. Inouye International Airport,818,239,Southwest Airlines
Snow Fall,-2,Pullman - Moscow Regional Airport,Orcas Island Airport,807,262,Eastern Airlines
Sunny,38,Elmira/Corning Regional Airport,Denver International Airport,355,196,Eastern Airlines
Rainy,30,Erie International Airport (Tom Ridge Field),Kearney Regional Airport (was Kearney Municipal),601,262,Eastern Airlines
Cloudy,35,Eugene F. Kranz Toledo Express Airport,Charlotte Douglas International Airport,568,312,Mesa Airlines
Windy,25,Louis Armstrong New Orleans International Airport,Westchester County Airport,853,274,Silver Airways
Sunny,39,Ontario International Airport,Merrill Field,827,347,Mesa Airlines
Sunny,38,Norman Y. Mineta San José International Airport,San Francisco International Airport,334,173,SkyWest Airlines
Cloudy,34,Akron-Canton Regional Airport,Pullman - Moscow Regional Airport,523,344,Piedmont Airlines
Sunny,37,General Downing-Peoria International Airport,Muskegon County Airport,645,341,GoJet Airlines
Cloudy,32,Grand Junction Regional Airport (Walker Field),Worcester Regional Airport,629,270,Endeavor Air
Cloudy,34,Albuquerque International Sunport,Akron-Canton Regional Airport,917,349,Sun Country Airlines
Rainy,28,Worcester Regional Airport,Corpus Christi International Airport,765,220,Cape Air
Snow Fall,-6,Piedmont Triad International Airport,Rapid City Regional Airport,407,131,Envoy Air
Cloudy,31,Miami International Airport,Sacramento International Airport,621,286,Piedmont Airlines
Rainy,27,Molokai Airport (Hoolehua Airport),Ted Stevens Anchorage International Airport,796,337,United Airlines
Sunny,35,Paine Field (Snohomish County Airport),Delta County Airport,995,305,CommutAir
Rainy,26,Plattsburgh International Airport,Flagstaff Pulliam Airport,328,115,Sun Country Airlines
Cloudy,34,Joe Foss Field,East Texas Regional Airport,658,370,Frontier Airlines
Cloudy,34,Austin - Bergstrom International Airport,Meadows Field,345,186,Alaska Airlines
Sunny,36,Columbia Metropolitan Airport,Ogden-Hinckley Airport,382,149,Republic Airways
Sunny,36,Mahlon Sweet Field,Charlottesville - Albemarle Airport,361,193,Hawaiian Airlines
Rainy,29,La Crosse Regional Airport,Boulder City Municipal Airport,620,246,Cape Air
Sunny,35,Fayetteville Regional Airport (Grannis Field),Philadelphia International Airport,389,110,Spirit Airlines
Sunny,39,Lehigh Valley International Airport (was Allentown - Bethlehem - Easton International Airport),Shenandoah Valley Regional Airport,390,137,Piedmont Airlines
Windy,15,Eugene F. Kranz Toledo Express Airport,Albany International Airport,547,354,Republic Airways
Cloudy,33,Hector International Airport,Columbia Regional Airport,456,119,GoJet Airlines
Sunny,39,Santa Barbara Municipal Airport (Santa Barbara Airport),Tyler Pounds Regional Airport,469,165,Spirit Airlines
Rainy,29,Tri-State Airport (Milton J. Ferguson Field),Niagara Falls International Airport,403,151,Southwest Airlines
Windy,24,Greenville - Spartanburg International Airport (Roger Milliken Field),Casper - Natrona County International Airport,452,182,Southwest Airlines
Snow Fall,-3,Rhinelander - Oneida County Airport,Denver International Airport,846,287,Envoy Air
Windy,20,Cyril E. King Airport,Sitka Rocky Gutierrez Airport,493,168,Alaska Airlines
Snow Fall,1,Baltimore/Washington International Airport,Charles M. Schulz - Sonoma County Airport,439,114,Allegiant Air
Sunny,37,Pitt - Greenville Airport,Glacier Park International Airport,801,229,American Airlines
Snow Fall,-8,Stillwater Regional Airport,Monroe Regional Airport,590,274,Frontier Airlines
Windy,15,Tampa International Airport,Pangborn Memorial Airport,862,232,Spirit Airlines
Windy,21,Albuquerque International Sunport,Dothan Regional Airport,515,260,Delta Air Lines
Sunny,36,Gulfport - Biloxi International Airport,Portland International Airport,732,282,SkyWest Airlines
Sunny,37,Saipan International Airport (Francisco C. Ada),Paine Field (Snohomish County Airport),442,190,Horizon Air
Cloudy,33,Hays Regional Airport,Hollywood Burbank Airport (was Bob Hope Airport),374,146,Breeze Airways
Sunny,39,Tupelo Regional Airport (C.D. Lemons Field),Atlantic City International Airport,711,389,Mesa Airlines
Cloudy,35,Cape Cod Gateway Airport (Boardman/Polando Field),Chippewa Valley Regional Airport,976,256,Piedmont Airlines
Sunny,38,George Bush Intercontinental/Houston Airport,Myrtle Beach International Airport,567,354,Republic Airways
Cloudy,34,Klawock Airport (also see Klawock Seaplane Base),Yakima Air Terminal (McAllister Field),421,133,United Airlines
Windy,25,Abraham Lincoln Capital Airport,Gillette - Campbell County Airport,654,215,Contour Airlines
Sunny,36,Laramie Regional Airport,Canyonlands Regional Airport,913,247,Hawaiian Airlines
Snow Fall,1,Burlington International Airport,Knox County Regional Airport,658,359,Elite Airways
Rainy,30,Gustavus Airport,East Texas Regional Airport,865,235,Silver Airways
Sunny,38,Ogdensburg International Airport,Gerald R. Ford International Airport,505,387,Horizon Air
Snow Fall,-8,Lanai Airport,Lincoln Airport (was Lincoln Municipal),809,256,Air Wisconsin
Snow Fall,-5,Pangborn Memorial Airport,Mahlon Sweet Field,766,244,SkyWest Airlines
Cloudy,30,Jack Brooks Regional Airport (was Southeast Texas Regional),Aspen/Pitkin County Airport (Sardy Field),575,260,Breeze Airways
Snow Fall,2,Muskegon County Airport,Syracuse Hancock International Airport,868,317,Envoy Air
Snow Fall,1,Stockton Metropolitan Airport,Joplin Regional Airport,766,300,Alaska Airlines
Snow Fall,0,Cincinnati/Northern Kentucky International Airport,Ontario International Airport,407,160,Southwest Airlines
Snow Fall,-1,Waco Regional Airport,Benjamín Rivera Noriega Airport,808,213,Horizon Air
Windy,22,Stockton Metropolitan Airport,Trenton Mercer Airport,547,212,Frontier Airlines
Windy,16,Kodiak Airport (Benny Benson State Airport),Ketchikan International Airport,688,312,American Airlines
Rainy,28,Lynchburg Regional Airport (Preston Glenn Field),Columbia Regional Airport,946,263,Delta Air Lines
Rainy,26,Redding Municipal Airport,Casper - Natrona County International Airport,633,228,Republic Airways
Cloudy,30,Long Beach Airport (Daugherty Field),Pensacola International Airport,961,310,Hawaiian Airlines
Sunny,37,Phoenix Sky Harbor International Airport,Louis Armstrong New Orleans International Airport,619,216,Air Wisconsin
Sunny,36,Greenville - Spartanburg International Airport (Roger Milliken Field),Molokai Airport (Hoolehua Airport),318,148,United Airlines
Sunny,36,Elko Regional Airport (J.C. Harris Field),Corpus Christi International Airport,554,247,CommutAir
Sunny,39,Yellowstone Airport,Burlington International Airport,381,172,SkyWest Airlines
Snow Fall,3,Trenton Mercer Airport,Piedmont Triad International Airport,509,364,JetBlue
Cloudy,35,Central Wisconsin Airport,Great Falls International Airport,508,270,JetBlue
Rainy,26,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),Martha's Vineyard Airport,544,340,Envoy Air
Snow Fall,-2,Raleigh - Durham International Airport,Birmingham - Shuttlesworth International Airport,780,253,Air Wisconsin
Snow Fall,1,Southwest Wyoming Regional Airport (Rock Springs - Sweetwater County Airport),San Luis Valley Regional Airport (Bergman Field),318,136,Contour Airlines
Sunny,39,Del Rio International Airport,Melbourne Orlando International Airport,530,360,Endeavor Air
Windy,21,Northwest Florida Beaches International Airport,Alpena County Regional Airport,672,288,SkyWest Airlines
Sunny,38,Bellingham International Airport,Mahlon Sweet Field,302,169,Hawaiian Airlines
Rainy,29,Waynesville-St. Robert Regional Airport (Forney Field),Destin - Fort Walton Beach Airport / Eglin Air Force Base,603,362,Elite Airways
Snow Fall,3,Albuquerque International Sunport,Minneapolis - St. Paul International/Wold-Chamberlain Airport,305,187,Breeze Airways
Rainy,26,Joe Foss Field,Juneau International Airport,638,394,PSA Airlines
Sunny,39,Capital Region International Airport (was Lansing Capital City),Elko Regional Airport (J.C. Harris Field),558,202,Elite Airways
Windy,20,Lihue Airport,Ralph Wien Memorial Airport,605,400,CommutAir
Sunny,36,Shenandoah Valley Regional Airport,Yellowstone Airport,947,232,Hawaiian Airlines
Cloudy,30,Central Wisconsin Airport,Miami International Airport,366,170,SkyWest Airlines
Cloudy,31,Buffalo Niagara International Airport,Nome Airport,363,175,Piedmont Airlines
Sunny,35,Charlottesville - Albemarle Airport,Kodiak Airport (Benny Benson State Airport),693,265,Alaska Airlines
Cloudy,34,Rickenbacker International Airport,Valley International Airport,445,105,United Airlines
Windy,15,Luis Muñoz Marín International Airport,Cherry Capital Airport (was Cherry County Airpark),305,184,Sun Country Airlines
Cloudy,32,Trenton Mercer Airport,Columbia Metropolitan Airport,696,263,JetBlue
Windy,25,Quad City International Airport,Gulfport - Biloxi International Airport,830,380,Frontier Airlines
Rainy,27,Blue Grass Airport,Homer Airport,657,254,PSA Airlines
Sunny,36,Des Moines International Airport,Evansville Regional Airport,792,307,Eastern Airlines
Rainy,26,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,Tampa International Airport,942,381,Alaska Airlines
Sunny,37,Laredo International Airport,Friedman Memorial Airport,478,159,Contour Airlines
Windy,19,Akron-Canton Regional Airport,Ogden-Hinckley Airport,981,227,Mesa Airlines
Sunny,36,Buffalo Niagara International Airport,Brownsville/South Padre Island International Airport,666,261,Air Wisconsin
Cloudy,34,Mobile Regional Airport,John F. Kennedy International Airport (was New York International Airport),809,317,Southwest Airlines
Cloudy,34,Montgomery Regional Airport (Dannelly Field),Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),387,187,Air Wisconsin
Snow Fall,1,Provo Municipal Airport,Delta County Airport,867,278,Air Wisconsin
Cloudy,34,Salina Regional Airport,Rick Husband Amarillo International Airport,909,254,Piedmont Airlines
Snow Fall,-8,Savannah/Hilton Head International Airport,Pullman - Moscow Regional Airport,384,104,Silver Airways
Snow Fall,-9,Wilmington Airport,Casper - Natrona County International Airport,666,326,Horizon Air
Snow Fall,1,Yuma International Airport / MCAS Yuma,William P. Hobby Airport,543,204,JetBlue
Snow Fall,2,Niagara Falls International Airport,Evansville Regional Airport,860,297,Hawaiian Airlines
Windy,15,South Bend International Airport,Dickinson Theodore Roosevelt Regional Airport,826,261,Mesa Airlines
Snow Fall,-3,Pierre Regional Airport,Montgomery Regional Airport (Dannelly Field),474,169,JetBlue
Cloudy,30,Midland International Air and Space Port,Yakutat Airport (also see Yakutat Seaplane Base),955,228,Envoy Air
Snow Fall,0,Bemidji Regional Airport,Baton Rouge Metropolitan Airport (Ryan Field),636,232,Silver Airways
Snow Fall,-3,Presque Isle International Airport,Springfield - Branson National Airport,919,242,Delta Air Lines
Cloudy,30,Manchester - Boston Regional Airport,Ralph Wien Memorial Airport,518,266,Silver Airways
Snow Fall,-6,Tweed-New Haven Airport,Ralph Wien Memorial Airport,936,331,Cape Air
Sunny,38,Portland International Jetport,Key West International Airport,898,317,Allegiant Air
Sunny,36,South Bend International Airport,Jamestown Regional Airport,514,285,Southwest Airlines
Rainy,29,Abilene Regional Airport,Bert Mooney Airport,543,296,Frontier Airlines
Sunny,37,Owensboro - Daviess County Regional Airport,Klawock Airport (also see Klawock Seaplane Base),763,247,Cape Air
Rainy,25,Hilo International Airport,Hagerstown Regional Airport (Richard A. Henson Field),672,380,SkyWest Airlines
Sunny,39,Golden Triangle Regional Airport,San Luis Valley Regional Airport (Bergman Field),339,114,PSA Airlines
Cloudy,30,Yellowstone Regional Airport,Tinian International Airport (West Tinian),905,230,JetBlue
Windy,20,Hartsfield - Jackson Atlanta International Airport,Memphis International Airport,375,151,SkyWest Airlines
Windy,15,Veterans Airport of Southern Illinois (Williamson County Regional Airport),Veterans Airport of Southern Illinois (Williamson County Regional Airport),421,134,United Airlines
Cloudy,32,San Diego International Airport (Lindbergh Field),Tinian International Airport (West Tinian),712,353,Eastern Airlines
Sunny,38,Central Wisconsin Airport,Central Wisconsin Airport,997,364,Southwest Airlines
Rainy,27,Kodiak Airport (Benny Benson State Airport),Indianapolis International Airport,530,241,United Airlines
Sunny,38,Kearney Regional Airport (was Kearney Municipal),Antonio B. Won Pat International Airport,672,307,Mesa Airlines
Rainy,27,Dubuque Regional Airport,Meadows Field,644,211,Piedmont Airlines
Cloudy,35,Kearney Regional Airport (was Kearney Municipal),Laramie Regional Airport,941,391,Republic Airways
Snow Fall,0,Cyril E. King Airport,Rick Husband Amarillo International Airport,518,307,Breeze Airways
Cloudy,35,Houghton County Memorial Airport,Central Wyoming Regional Airport (was Riverton Regional),862,325,Envoy Air
Windy,20,Prescott Municipal Airport (Ernest A. Love Field),Lawton - Fort Sill Regional Airport,698,385,Contour Airlines
Rainy,29,Lanai Airport,Pittsburgh International Airport,456,179,Sun Country Airlines
Windy,24,Santa Barbara Municipal Airport (Santa Barbara Airport),Nome Airport,601,293,Sun Country Airlines
Snow Fall,-8,St. George Regional Airport,Valley International Airport,483,164,Mesa Airlines
Cloudy,33,Chippewa County International Airport,Paine Field (Snohomish County Airport),465,100,Cape Air
Snow Fall,-9,Blue Grass Airport,Evansville Regional Airport,863,366,Contour Airlines
Cloudy,32,Norman Y. Mineta San José International Airport,El Paso International Airport,616,268,Mesa Airlines
Sunny,36,Minot International Airport,Mercedita Airport,319,162,Envoy Air
Cloudy,32,North Platte Regional Airport (Lee Bird Field),Jack Brooks Regional Airport (was Southeast Texas Regional),340,178,United Airlines
Rainy,30,Charleston International Airport / Charleston AFB,Muskegon County Airport,792,228,PSA Airlines
Sunny,35,Wilmington Airport,North Platte Regional Airport (Lee Bird Field),551,357,Envoy Air
Rainy,26,General Downing-Peoria International Airport,San Diego International Airport (Lindbergh Field),583,290,JetBlue
Sunny,39,Southwest Florida International Airport,Spokane International Airport (Geiger Field),998,268,United Airlines
Snow Fall,-2,Billings Logan International Airport,Yuma International Airport / MCAS Yuma,933,201,Spirit Airlines
Sunny,39,Gillette - Campbell County Airport,Gunnison - Crested Butte Regional Airport,633,282,Sun Country Airlines
Rainy,27,San Luis Obispo County Regional Airport (McChesney Field),Nashville International Airport (Berry Field),698,349,Alaska Airlines
